word,best_response,shown,meaning,,,
REALISTIC,Having or showing a sensible idea of what can be achieved,FALSE,I set realistic but challenging goals for myself and my team.,,,
LIST,A number of connected items or names written consecutively,FALSE,I make a list of tasks to be done for better management.,,,
OUTLANDISH,Looking or sounding bizarre or unfamiliar,FALSE,His outlandish ideas were surprisingly effective.,,,
BIAS,Prejudice in favor of or against one thing or person,FALSE,I make my decisions free from any personal bias.,,,
HERITAGE,Property that is or may be inherited; an inheritance,FALSE,I am proud of my country's rich cultural heritage.,,,
SQUAD,A small group of soldiers assembled for drill or assigned to a task,FALSE,A squad that trains together stays together and wins together.,,,
ENACT,To make a bill or other proposal law,FALSE,I enact my plans with precision and speed.,,,
LURK,To be or remain hidden so as to wait in ambush,FALSE,Danger can lurk in the most unexpected places.,,,
UNCTION,Excessive or insincere flattery,FALSE,I am not impressed by his oily and unctuous manners.,,,
UBIQUITOUS,Present appearing or found everywhere,FALSE,Mobile phones have become ubiquitous in our lives.,,,
TAKE,To lay hold of something with one's hands,FALSE,I take initiative to solve problems without being told.,,,
SYCOPHANT,A person who acts obsequiously toward someone important in order to gain advantage,FALSE,A sycophant is a person who flatters his superiors.,,,
UNABATED,Without any reduction in intensity or strength,FALSE,The rain continued unabated for three days.,,,
REPAST,A meal,FALSE,After a hard day's work we had a simple repast.,,,
TRANSLUCENT,Allowing light but not detailed images to pass through,FALSE,The glass was translucent and I could not see clearly through it.,,,
IMBUE,To inspire or permeate with a feeling or quality,FALSE,I am imbued with a strong sense of patriotism.,,,
MIMIC,To imitate someone's actions or words,FALSE,I do not mimic others; I have my own style.,,,
REACH,To stretch out an arm in a specified direction,FALSE,I am determined to reach my goal of becoming an officer.,,,
DELAY,To make someone or something late or slow,FALSE,I avoid delays by planning my work in advance.,,,
TEMPERATE,Relating to or denoting a region or climate characterized by mild temperatures,FALSE,I have a temperate lifestyle.,,,
PROLIFERATE,To increase rapidly in numbers; multiply,FALSE,Nuclear weapons should not be allowed to proliferate.,,,
FAITH,Complete trust or confidence in someone or something,FALSE,I have immense faith in my country and my team's abilities.,,,
CONCURRENT,Existing happening or done at the same time,FALSE,I can manage concurrent tasks effectively.,,,
CUP,A small bowl-shaped container for drinking from,FALSE,A cup of tea with my comrades refreshes my spirit.,,,
CONVERGE,To tend to meet at a point,FALSE,All my efforts converge towards my goal.,,,
CORPS,A main subdivision of an army in the field consisting of two or more divisions,FALSE,The Corps of Engineers is vital for military operations.,,,
FOCUS,The center of interest or activity,FALSE,I maintain my focus on the mission objective.,,,
HELP,To give assistance to someone,FALSE,I always help others in their time of need.,,,
MEEK,Quiet gentle and easily imposed on; submissive,FALSE,A soldier should not be meek and submissive.,,,
INVENT,To create or design something that has not existed before,FALSE,Necessity is the mother of all invention.,,,
PROCRASTINATE,To delay or postpone action; put off doing something,FALSE,I do not procrastinate; I do my work on time.,,,
STYGIAN,Very dark,FALSE,The cave was stygian and dark.,,,
REASONING,The action of thinking about something in a logical sensible way,FALSE,My logical reasoning helps me in solving complex problems.,,,
HOLD,To grasp carry or support with one's hands,FALSE,I hold my nerve in high-pressure situations.,,,
ODIOUS,Extremely unpleasant; repulsive,FALSE,Terrorism is an odious crime against humanity.,,,
TESSELLATED,Decorated with a mosaic of small square tiles,FALSE,The floor was made of tessellated marble tiles.,,,
UNBRIDLED,Uncontrolled; unconstrained,FALSE,The unbridled passion of the youth needs to be channelized.,,,
PIQUE,A feeling of irritation or resentment resulting from a slight,FALSE,His rude remark piqued my interest.,,,
THEOCRACY,A system of government in which priests rule in the name of God,FALSE,A theocracy is a state ruled by religious leaders.,,,
CONSOLE,To comfort someone at a time of grief or disappointment,FALSE,I console my teammates in their moments of distress.,,,
INTROSPECTION,The examination of one's own conscious thoughts and feelings,FALSE,I do introspection to know my strengths and weaknesses.,,,
AUDACITY,A willingness to take bold risks,FALSE,Audacity in a leader can sometimes win the day.,,,
DEPEND,To be controlled or determined by; to rely on,FALSE,My team can depend on me in any situation.,,,
EXISTENCE,The fact or state of living or having objective reality,FALSE,I want to lead a meaningful existence.,,,
OMINOUS,Giving the impression that something bad is going to happen,FALSE,An ominous silence prevailed before the storm.,,,
BOY,A male child or young man,FALSE,As a young boy I dreamt of joining the armed forces.,,,
SATIATE,To satisfy a desire or an appetite to the full,FALSE,My thirst for adventure can never be satiated.,,,
SING,To make musical sounds with the voice,FALSE,I sing patriotic songs with my comrades to boost morale.,,,
RESPOND,To say something in reply,FALSE,I respond to situations quickly and effectively.,,,
SPECULATE,To form a theory or conjecture about a subject without firm evidence,FALSE,I do not speculate; I base my decisions on facts.,,,
SANGUINE,Optimistic or positive especially in a bad situation,FALSE,I am sanguine about my success in the exam.,,,
DISCOVER,To find something or someone unexpectedly,FALSE,I love to discover new things through reading and travel.,,,
LATENT,Existing but not yet developed or manifest; hidden,FALSE,I want to explore my latent talents.,,,
PERPETRATE,To carry out or commit a harmful illegal or immoral action,FALSE,I will never perpetrate an act of injustice.,,,
EXUBERANCE,The quality of being full of energy excitement and cheerfulness,FALSE,My exuberance and high energy are contagious.,,,
LIVE,To remain alive,FALSE,I live by the values of the Indian Armed Forces.,,,
WARM,Of or at a fairly or comfortably high temperature,FALSE,I maintain warm relations with all members of my team.,,,
SHIBBOLETH,A custom principle or belief distinguishing a particular class or group of people,FALSE,I do not believe in the shibboleths of the past.,,,
HOPE,A feeling of expectation and desire for a particular thing to happen,FALSE,I maintain hope and motivate others during a crisis situation.,,,
FEEL,To experience an emotion or sensation,FALSE,I feel a great sense of pride in my country's achievements.,,,
PONDEROUS,Slow and clumsy because of great weight; dull and solemn,FALSE,I can read and understand a ponderous philosophical text.,,,
VITUPERATE,To blame or insult someone in strong or violent language,FALSE,The opposition leader vituperated the government for its failure.,,,
IRRECONCILABLE,Representing findings or points of view that are so different from each other that they cannot be compatible,FALSE,There are no irreconcilable differences between true friends.,,,
DIAGNOSE,To identify the nature of an illness or problem,FALSE,I can diagnose the problem and suggest a cure.,,,
NINE,Equivalent to the sum of three and six,FALSE,I work diligently from nine to five and beyond if required.,,,
INFRACTION,A violation or infringement of a law or agreement,FALSE,I will not tolerate any infraction of rules.,,,
BUSY,Having a great deal to do,FALSE,I keep myself busy with productive and meaningful work.,,,
LESS,A smaller amount of; not as much,FALSE,I speak less and let my actions speak for themselves.,,,
ENCOURAGE,To give support confidence or hope to someone,FALSE,I encourage my teammates to take on new challenges.,,,
WILY,Skilled at gaining an advantage especially deceitfully,FALSE,The wily fox escaped from the trap.,,,
DEFEAT,An instance of losing a battle or contest,FALSE,I analyze defeats to ensure I achieve victory next time.,,,
JUMP,To push oneself off a surface and into the air,FALSE,I jump at every opportunity that challenges my capabilities.,,,
DECEPTION,The action of deceiving someone,FALSE,Deception is a key element of military strategy.,,,
PERILOUS,Full of danger or risk,FALSE,A soldier's life is full of perilous challenges.,,,
ITINERANT,Traveling from place to place,FALSE,A soldier leads an itinerant life serving in different places.,,,
SEDULOUS,Showing dedication and diligence,FALSE,She is a sedulous and hard-working student.,,,
TRUST,Firm belief in the reliability truth or ability of someone,FALSE,I build trust within my team through my consistent actions.,,,
METAMORPHOSIS,A change of the form or nature of a thing or person into a completely different one,FALSE,The training at the academy leads to a complete metamorphosis.,,,
LAZY,Unwilling to work or use energy; idle,FALSE,I overcome laziness with self-discipline and motivation.,,,
THANK,To express gratitude to someone,FALSE,I thank my teammates for their support and cooperation.,,,
COME,To move or travel toward or into a place thought of as near,FALSE,I come prepared for all my tests and interviews.,,,
PERCEPTION,The ability to see hear or become aware of something through the senses,FALSE,My perception is sharp and I am quick to grasp things.,,,
TRIBUTE,An act statement or gift that is intended to show gratitude or respect,FALSE,I pay my tribute to the brave soldiers of my country.,,,
