word,best_response,shown,meaning,,,,
SWAB,He used a swab to clean the wound,FALSE,An absorbent pad or piece of material,,,,
UNHAPPY,I find reasons to be happy and not let circumstances make me unhappy,FALSE,Not happy,,,,
MESS,I can bring order to any mess and chaos,FALSE,A dirty or untidy state of things or of a place,,,,
SCRIMP,He scrimped and saved to buy a new car,FALSE,To be thrifty or parsimonious,,,,
REFRACTORY,The refractory child refused to listen to his parents,FALSE,Stubborn or unmanageable,,,,
SUCCUMB,He succumbed to his injuries and died,FALSE,To fail to resist pressure,or some other negative force,,,
DISCOVER,I am eager to discover my full potential through challenges,FALSE,To find something or someone unexpectedly or in the course of a search,,,,
DISGUST,I feel disgust towards any act of corruption or dishonesty,FALSE,A feeling of revulsion or strong disapproval,,,,
INTERRUPT,I listen patiently and do not interrupt others when they speak,FALSE,To stop the continuous progress of an activity or process,,,,
PROFLIGATE,He was a profligate who spent all his money on gambling,FALSE,Recklessly extravagant or wasteful in the use of resources,,,,
REASON,There is a reason behind every rule and regulation,FALSE,A cause explanation or justification for an action or event,,,,
PAY,Hard work always pays off in the end,FALSE,To give someone money that is due for work done,,,,
INSIGHT,Experience provides valuable insight into complex problems,FALSE,The capacity to gain an accurate and deep intuitive understanding of a person or thing,,,,
RICKETY,He lived in a rickety old house,FALSE,Poorly made and likely to collapse,,,,
BLOOD,I am ready to shed my blood for my nation's honor,FALSE,The red liquid that circulates in the arteries and veins,,,,
CATASTROPHE,Good leadership can prevent a catastrophe,FALSE,An event causing great and often sudden damage or distress,,,,
RABID,He was a rabid fan of the football team,FALSE,Having or proceeding from an extreme or fanatical support of or belief in something,,,,
HOLOCAUST,We must learn from the Holocaust and prevent such atrocities,FALSE,Destruction or slaughter on a mass scale,,,,
INVIDIOUS,I avoid making invidious comparisons between my teammates,FALSE,Likely to arouse or incur resentment or anger in others,,,,
CREATIVE,A creative approach can solve seemingly impossible problems,FALSE,Relating to or involving the imagination or original ideas,,,,
JIBE,I do not indulge in personal jibes,FALSE,An insulting or mocking remark,,,,
INNATE,I have an innate ability to lead and motivate people,FALSE,Inborn; natural,,,,
DEBRIS,I can clear the debris and find a path forward,FALSE,Scattered pieces of waste or remains,,,,
MISDIRECT,He tried to misdirect the police investigation,FALSE,To give someone incorrect information about which way to go,,,,
WIDE,I have a wide range of interests and hobbies,FALSE,Of great or more than average width,,,,
CAMOUFLAGE,I can camouflage my intentions from the enemy,FALSE,The disguising of military personnel equipment and installations by painting or covering them to make them blend in with their surroundings,,,,
UNCLEAN,I maintain cleanliness in my surroundings,FALSE,Dirty,,,,
DETERMINATION,My determination helps me to persevere through hardships,FALSE,The quality of being firm in purpose,,,,
ORDEAL,The hostage crisis was a terrible ordeal for the victims,FALSE,A painful or horrific experience,,,,
PIRATE,The pirates attacked the merchant ship and looted it,FALSE,A person who attacks and robs ships at sea,,,,
PARROT,He just parrots what his boss says,FALSE,To repeat mechanically,,,,
GORGE,I can cross a deep gorge with my mountaineering skills,FALSE,A narrow valley between hills or mountains,,,,
OSTRACIZE,He was ostracized by his community for marrying outside his caste,FALSE,To exclude someone from a society or group,,,,
MISANTHROPE,He was a misanthrope who hated everyone,FALSE,A person who dislikes humankind and avoids human society,,,,
SCABROUS,The novel was full of scabrous details,FALSE,Dealing with scandalous or indecent matters,,,,
PASTE,He pasted the poster on the wall,FALSE,A thick,moist substance,,,
JOLLY,A jolly person spreads positivity in the group,FALSE,Happy and cheerful,,,,
PREEMINENT,He was the preeminent scientist of his generation,FALSE,Surpassing all others; very distinguished in some way,,,,
MISPLACE,I have misplaced my trust in him,FALSE,To put something in the wrong place and lose it temporarily,,,,
MISINFORM,He deliberately misinformed the media about the incident,FALSE,To give someone false or inaccurate information,,,,
TEMPT,I have good self-control and am not easily tempted,FALSE,To entice or attempt to entice someone to do or acquire something that they find attractive but know to be wrong or unwise,,,,
GUZZLE,I do not guzzle my food; I eat it slowly,FALSE,To eat or drink something greedily,,,,
FAMOUS,A person becomes famous through their good deeds and hard work,FALSE,Known about by many people,,,,
WEAR,I want to wear the uniform of the armed forces with pride,FALSE,To have on one's body or a part of one's body as clothing decoration or protection,,,,
STOLEN,I will never use stolen ideas or property,FALSE,Taken without permission,,,,
PERFIDY,His perfidy was revealed when he betrayed his own country,FALSE,Deceitfulness; untrustworthiness,,,,
FORFEIT,I will not forfeit my honor for any personal gain,FALSE,To lose or be deprived of property or a right or privilege as a penalty for wrongdoing,,,,
MANIAC,He drove like a maniac and caused an accident,FALSE,A person exhibiting extreme symptoms of wild behavior,,,,
TAWDRY,She was wearing tawdry jewelry,FALSE,Showy but cheap and of poor quality,,,,
PROFANE,His profane language shocked the audience,FALSE,Not respectful of orthodox religious practice,,,,
BREACH,I will never breach the trust placed in me by my superiors,FALSE,An act of breaking or failing to observe a law agreement or code of conduct,,,,
HUSTLE,I can hustle and get the work done in time,FALSE,To push roughly; jostle,,,,
VALIANT,Valiant soldiers make the nation proud with their bravery,FALSE,Possessing or showing courage or determination,,,,
SCURRY,The mice scurried away when they saw the cat,FALSE,To move hurriedly with short quick steps,,,,
DOWN,I am never down and out; I always fight back,FALSE,Towards or in a lower place or position,,,,
SHRUG,He just shrugged his shoulders when I asked him the question,FALSE,To raise one's shoulders slightly and momentarily to express doubt,,,,
RIP,He ripped the letter into pieces,FALSE,To tear or pull something quickly or forcibly away,,,,
TAKE,I take initiative and responsibility in group tasks,FALSE,To lay hold of something with one's hands; reach for and hold,,,,
DISCRIMINATE,I do not discriminate on the basis of caste creed or religion,FALSE,To make an unjust or prejudicial distinction in the treatment of different categories of people,,,,
DISCOMFORT,I can endure physical discomfort for a greater cause,FALSE,Slight pain,,,,
QUERULOUS,He was a querulous old man who was always complaining,FALSE,Complaining in a petulant or whining manner,,,,
STRUGGLE,I am ready to struggle to achieve my goals,FALSE,To strive to achieve or attain something in the face of difficulty or resistance,,,,
DROOP,My shoulders never droop in defeat,FALSE,To bend or hang down limply,,,,
SKITTISH,The skittish horse was difficult to ride,FALSE,Easily scared; nervous,,,,
OPIATE,Opium is a powerful opiate,FALSE,A drug with morphinelike effects,,,,
SUBMIT,I submit to the discipline and rules of the organization,FALSE,To accept or yield to a superior force or to the authority or will of another person,,,,
ODIOUS,His odious crime shocked the entire nation,FALSE,Extremely unpleasant; repulsive,,,,
PENSIVE,He was in a pensive mood and did not talk much,FALSE,Engaged in,or reflecting deep or serious thought,,,
UTMOST,I perform my duties with utmost sincerity and dedication,FALSE,Most extreme; greatest,,,,
SCRAWNY,The scrawny cat was looking for food,FALSE,Unattractively thin and bony,,,,
FLAKE,I am a reliable person and not a flake,FALSE,An unreliable person who is not good at organizing their life,,,,
UNLAWFUL,I will never indulge in any unlawful activity,FALSE,Not conforming to permitted by or recognized by law or rules,,,,
TRIUMPH,Triumph over adversity builds character and confidence,FALSE,A great victory or achievement,,,,
MENTAL,I maintain my mental resilience through positive thinking,FALSE,Relating to the mind,,,,
RUMOR,I do not believe in or spread rumors,FALSE,A currently circulating story or report of uncertain or doubtful truth,,,,
SPARING,He was sparing in his praise,FALSE,Moderate; economical,,,,
ABILITY,I am confident in my ability to lead and motivate others,FALSE,Possession of the means or skill to do something,,,,
REINSTATE,He was reinstated in his job after the inquiry,FALSE,To restore someone or something to their former position or state,,,,
PLOD,He plodded on through the snow,FALSE,To walk doggedly and slowly with heavy steps,,,,
STATE,I am in a fit state of mind and body for the armed forces,FALSE,The particular condition that someone or something is in at a specific time,,,,
OBTAIN,I work hard to obtain the skills required for my role,FALSE,To get acquire or secure something,,,,
SNARE,The rabbit was caught in a snare,FALSE,A trap for catching birds or animals,,,,
IMPURE,I have pure intentions and my heart is not impure,FALSE,Morally wrong especially in sexual matters,,,,
CONCEITED,I am confident but not conceited,FALSE,Excessively proud of oneself; vain,,,,
HACK,I can hack my way through any jungle or obstacle,FALSE,To cut with rough or heavy blows,,,,
FARCE,I take my work seriously and do not turn it into a farce,FALSE,An absurd event,,,,
SWIRL,The water swirled down the drain,FALSE,To move in a twisting or spiraling pattern,,,,
MOTIVATE,I motivate my team to achieve its full potential,FALSE,To provide someone with a reason for doing something,,,,
